,category,tam_bn,market_cagr_pct,pe_deals_2024,pe_capital_bn,ebitda_margin_pct,same_store_growth_pct,avg_member_ltv,avg_cac,ltv_cac_ratio,annual_churn_pct,hybrid_demand_score,macro_resilience,us_locations_2025,yoy_unit_growth_pct,revenue_m,gross_margin_pct,operating_margin_pct,net_income_m
0,HVLP Budget Gyms,20.0,9.0,8,3.5,39.4,6.7,800,85,9.4,28,9,9,3200,17,1324.1,51.9,29.8,219.1
1,Boutique Studios,5.4,12.8,4,1.5,35.0,0.5,2200,300,7.3,35,7,5,6600,8,314.9,66.6,14.5,-33.8
2,Digital Platforms,3.87,12.84,1,0.2,8.0,-3.0,400,120,3.3,55,5,6,0,0,2490.8,50.9,2.5,-118.9
